provincia,municipio,latitud,longitud
Entre rios,El gato - loma limpia,-30.817385675,-59.04020264
Entre rios,Colonia oficial n° 13,-30.6792,-59.1646
Entre rios,Gonzalez calderon,-32.977748988,-59.412168071
Entre rios,Las toscas,-30.494583172,-59.102198129
Entre rios,Crucesitas tercera,-32.3889,-59.9333
Entre rios,Costa uruguay sur,-33.07416698,-58.50488032
Entre rios,Monte redondo (o 7° distrito),-32.953317596,-59.753801232
Entre rios,Colonia tunas,-30.339389359,-58.211966115
Entre rios,Sauce sur,-32.663736526,-59.212647335
San luis,Los cajones,-32.025751305,-65.374936148
Corrientes,Cecilio echavarria,-28.939317,-59.147804
Corrientes,Cazadores correntinos,-29.978782726,-58.302435672
Rio negro,Las grutas,-40.80609332,-65.084701976
Santa fe,Hardy,-28.14476068,-59.261155344
Santa fe,Los tabanos,-28.456547965,-59.982616002
Santiago del estero,El cruce,-27.582545733,-63.288605805
Misiones,Salto encantado,-27.082279787,-54.833485609
Corrientes,9 de julio,-28.883931336,-58.78485627
Rio negro,Arroyo ventana,-41.665393782,-66.086013555
Buenos aires,General villegas,-34.415505456,-62.961855381
Buenos aires,Esteban echeverria,-34.884979135,-58.477809937
Cordoba,Villa huidobro,-34.837181772,-64.583357166
Entre rios,Colonia ensayo,-31.875376802,-60.649121973
Buenos aires,Monte,-35.704696756,-58.711562654
Santa fe,Santo domingo,-31.122276836,-60.888885457
Misiones,Tres capones,-28.00008727,-55.608042878
Entre rios,Villa del rosario,-30.775064998,-57.842010243
Cordoba,Manfredi,-31.844058563,-63.746074607
Santiago del estero,Las tinajas,-27.46147289,-62.918808896
La rioja,Arauco,-28.583403187,-66.803641294
Cordoba,Cuesta blanca,-31.478778189,-64.577346691
Buenos aires,Balcarce,-37.4085551,-58.1355794
Cordoba,Dean funes,-30.422940937,-64.351669766
Cordoba,Villa del prado,-31.617939758,-64.392492525
Cordoba,Cavanagh,-33.478334899,-62.339346455
Tucuman,Arcadia,-27.306110382,-65.534507752
Corrientes,San luis del palmar,-27.52812434,-58.62991619
Santiago del estero,Colonia el simbolar,-27.750315946,-63.795424786
Santa fe,Los cardos,-32.3729135,-61.5457161
Rio negro,Contralmirante cordero,-38.724663336,-68.158056091
Santa fe,Santa maria norte,-31.547888772,-61.151227777
Cordoba,San geronimo,-31.391979365,-64.923013659
Santa fe,Palacios,-30.710669405,-61.623695205
Salta,El tala,-26.061208725,-65.316596985
Neuquen,Senillosa,-39.01130348,-68.433383391
Cordoba,Las penas,-30.561752596,-64.001984207
Tucuman,Acheral,-27.164539093,-65.429218168
Entre rios,Aldea san juan,-32.703788501,-58.779062501
Santa fe,Monigotes,-30.490135992,-61.63482247
Misiones,San jose,-27.72963082,-55.730343864
Corrientes,San antonio isla apipe grande,-27.453404151,-56.914652525
Cordoba,San esteban,-30.919978406,-64.536003665
La pampa,Santa rosa,-36.799221039,-64.125617981
Jujuy,Calilegua,-23.787050688,-64.730065776
Rio negro,Pilquiniyeu,-41.908386541,-68.342473245
Entre rios,Altamirano sur,-32.159522191,-59.184184576
Cordoba,Saldan,-31.314269681,-64.312904304
Catamarca,Las juntas,-28.103883632,-65.899651364
Formosa,Area sin gobierno,-24.31902043,-61.25791818
Entre rios,Sosa,-31.738574273,-59.911508144
Formosa,Ibarreta,-25.211319123,-59.857039844
San luis,Estancia grande,-33.16844847,-66.06146551
Cordoba,Ticino,-32.691927138,-63.435304438
Chaco,Puerto eva peron,-26.661480093,-58.635581818
Catamarca,El rodeo,-28.214151642,-65.873860063
Entre rios,Gualeguaycito,-31.0659142,-58.09292394
Tucuman,Tafi del valle,-26.816356394,-65.71792781
Corrientes,Estacion torrent,-28.826623916,-56.469525963
Neuquen,Tricao malal,-37.06895161,-70.38454137
Santa fe,Pedro gomez cello,-30.038474343,-60.315243129
Santa fe,Ramona,-31.093704177,-61.903231867
Salta,Joaquin v gonzalez,-24.907824078,-64.286735717
Jujuy,La esperanza,-24.22614768,-64.810173553
Santa fe,Llambi campbell,-31.181964929,-60.630110505
Cordoba,Isla verde,-33.24010715,-62.404426547
Entre rios,Concepcion del uruguay,-32.475718164,-58.298985561
Rio negro,Villa mascardi,-41.349553644,-71.509041629
La pampa,Toay,-36.747396152,-64.367390702
Cordoba,Sinsacate,-30.942857479,-64.088497437
Entre rios,General almada,-32.837633475,-58.803816047
Jujuy,Perico,-24.383194475,-64.995837064
Salta,General pizarro,-24.19111798,-64.093690355
Entre rios,Gobernador febre,-32.4774516,-59.92171173
"Tierra del fuego, antartida e islas del atlantico sur",Ushuaia,-54.80364046,-68.316062477
San luis,Quines,-32.28351144,-65.80227972
Santa fe,Montes de oca,-32.56799702,-61.768076235
Entre rios,Area sin gobierno,-31.45813887,-58.452086436
Tucuman,El mollar,-26.8576011,-65.6752299
Santa fe,San antonio de obligado,-28.382347094,-59.26457429
Salta,General mosconi,-22.36534361,-64.105525713
Buenos aires,Presidente peron,-34.9075871,-58.4348955
La pampa,Maisonave,-35.04155585,-64.384712611
Tucuman,Santa rosa de leales y laguna blan,-27.0940176,-65.1534815
Cordoba,Carnerillo,-32.91412735,-64.022483826
Santa fe,Constanza,-30.664633909,-61.320755216
Cordoba,Cerro colorado,-30.096059933,-63.928773173
San luis,Cortaderas,-32.563397622,-65.031530745
Santiago del estero,La banda,-27.733906,-64.238961
Entre rios,San victor,-30.48692836,-59.031651954
Cordoba,Los zorros,-32.045928188,-63.201798167
Rio negro,Cinco saltos,-38.796184831,-68.073433435
Entre rios,Pueblo cazes,-31.993610038,-58.550952228
Corrientes,Empedrado,-27.774806039,-58.499562731
Cordoba,Arroyo los patos,-31.750081658,-65.004300188
La pampa,Puelen,-37.340065549,-67.621850051
Cordoba,Toro pujio,-31.109040183,-62.987650622
Misiones,General urquiza,-27.042231279,-55.438123292
Neuquen,Loncopue,-38.195521663,-70.599224337
Misiones,Campo viera,-27.217711287,-55.083183556
Cordoba,Alejo ledesma,-33.607612594,-62.626140572
Jujuy,Palma sola,-23.940021515,-64.349639893
Santa fe,Los laureles,-29.419324875,-59.719028473
Catamarca,Santa maria,-26.708156586,-66.057388306
Neuquen,Neuquen,-38.94928568,-68.083905762
Misiones,Mojon grande,-27.750768837,-55.070987829
Cordoba,Monte maiz,-33.20456209,-62.601248151
Tucuman,San pablo y villa nougues,-26.783210754,-65.469711304
San juan,Zonda,-31.529332145,-68.725341068
La pampa,Mauricio mayer,-36.210663164,-64.033541226
Tucuman,La florida y luisiana,-26.844019209,-65.092475857
Tucuman,Burruyacu,-26.50033232,-64.741993821
Cordoba,Guatimozin,-33.461741129,-62.43914345
Cordoba,Onagoity,-34.770302122,-63.670323072
Catamarca,Icano,-28.788305606,-65.100730234
Cordoba,Alpa corral,-32.665106639,-64.74150181
Santa fe,Villa guillermina,-28.2253457,-59.5851593
San luis,El trapiche,-33.096430444,-65.990838383
Chubut,Trevelin,-43.250016852,-71.351231844
San juan,Jachal,-30.197818,-68.82920967
Tucuman,Monte bello,-27.4738951,-65.6832192
Formosa,Juan g bazan,-24.541813713,-60.8341897
Santa fe,Gato colorado,-28.490138058,-61.160907125
Corrientes,Gobernador martinez,-28.930866557,-58.971335779
Cordoba,Las junturas,-31.8313973,-63.450636455
Tucuman,Ancajuli,-26.62702,-65.60313
Salta,Chicoana,-25.105602371,-65.536890354
Santa fe,Las parejas,-32.71768772,-61.586297625
Chubut,Epuyen,-42.232924712,-71.369506658
Jujuy,Cusi cusi,-22.195691522,-66.420168475
Cordoba,El brete,-30.672210058,-64.869907029
Chaco,Coronel du graty,-27.889902115,-60.733386993
Formosa,Estanislao del campo,-25.053192265,-60.093927183
Santiago del estero,Forres,-27.898804531,-63.915324063
Cordoba,Piquillin,-31.299584445,-63.759105072
Cordoba,Caminiaga,-30.068225078,-64.052875898
Buenos aires,Carmen de areco,-34.268046,-59.9192997
Entre rios,Parana,-31.776236481,-60.543361135
Entre rios,General campos,-31.524607834,-58.404773513
Misiones,Cerro cora,-27.50860997,-55.603862144
Neuquen,Area sin gobierno,-39.183082581,-69.37890625
Rio negro,Ingeniero jacobacci,-41.326813424,-69.544126389
Cordoba,Canada del sauce,-32.418596127,-64.687170815
Chubut,Puerto madryn,-42.645615896,-65.064722967
Neuquen,Piedra del aguila,-40.046553864,-70.077319579
Santa fe,Chabas,-33.247067464,-61.357593556
Santa fe,Santa margarita,-28.290949211,-61.703482025
Cordoba,Alto de los quebrachos,-30.51295505,-65.157031069
Cordoba,La rinconada,-30.184653789,-62.830142634
Tucuman,Agua dulce y la soledad,-27.03225,-65.05974
Santa fe,Villa san jose,-31.339134634,-61.622588386
Cordoba,El crispin,-31.017971601,-63.605165059
Santa fe,San javier,-30.5951232,-59.9436425
Santa fe,Nare,-30.932459372,-60.500455822
Santa fe,Caferata,-33.51620194,-62.134782229
Chaco,La eduvigis,-26.804475578,-58.958545445
Mendoza,La paz,-33.464515641,-67.605578504
Santa fe,Totoras,-32.610377611,-61.324440932
Entre rios,Laguna benitez,-30.476279489,-58.729636431
Cordoba,Agua de oro,-31.058228128,-64.295579358
Entre rios,Villa urquiza,-31.65075061,-60.377585516
Formosa,Villa dos trece,-26.186462649,-59.368395058
Chaco,Barranqueras,-27.518580789,-59.003673945
Cordoba,General roca,-32.73051153,-61.917138712
Corrientes,San cosme,-27.40298521,-58.54733407
San luis,Las lagunas,-32.62981203,-65.551144129
Salta,Nazareno,-22.42822668,-65.145404966
Misiones,Azara,-28.057251205,-55.676799377
Santiago del estero,Los quiroga,-27.677625832,-64.297813648
La pampa,Realico,-35.036885754,-64.245420967
Cordoba,Colonia vicente ag├£ero,-31.028374846,-64.017590367
Cordoba,Transito,-31.425110953,-63.195403858
Chubut,Gualjaina,-42.726757895,-70.535487613
Santa fe,Esteban rams,-29.772671796,-61.488151235
Santa fe,Pozo borrado,-28.939942303,-61.705599974
Cordoba,Lutti,-32.298944103,-64.725437923
Chubut,Viglione,-44.19885565,-71.666668164
Neuquen,Villa del nahueve,-37.14198741,-70.73181913
Buenos aires,Guamini,-36.816944122,-62.621276855
Buenos aires,Chacabuco,-34.4575064,-60.180184513
Cordoba,Las acequias,-33.282248697,-63.975876387
Chaco,Laguna blanca,-27.21034133,-59.2276375
Formosa,Buena vista,-25.071212266,-58.386779908
Chaco,La clotilde,-27.178199339,-60.631574185
Tucuman,Yerba buena,-26.782594681,-65.359565735
Entre rios,El palenque,-31.619064233,-60.135412718
Cordoba,Villa nueva,-32.434331967,-63.287559164
Corrientes,Concepcion del yaguarete cora,-28.456798553,-58.230693821
Cordoba,San pedro norte,-30.088758998,-64.155953673
Neuquen,Anelo,-38.351444022,-68.791971559
Santa fe,Maria susana,-32.26666958,-61.916566196
Santa fe,Berna,-29.177899818,-59.944625308
Cordoba,Capilla del monte,-30.837526709,-64.536700457
Rio negro,Laguna blanca,-40.792595485,-69.881039958
Mendoza,Lavalle,-32.40057462,-67.515305787
Cordoba,Pampayasta norte,-32.24168273,-63.642186874
Cordoba,Gutemberg,-29.698228417,-63.561080947
Rio negro,San carlos de bariloche,-41.166635126,-71.43757454
Misiones,Obera,-27.508067952,-55.128771871
Formosa,Mision san francisco de laishi,-26.242301025,-58.630064242
Formosa,Laguna gallo,-25.267775283,-58.742794835
Santiago del estero,Pozo hondo,-27.193792707,-64.439314088
Cordoba,General fotheringham,-32.323429584,-63.870425743
San luis,Carolina,-32.812857164,-66.093232758
Santa fe,Saladero mariano cabal,-30.900007464,-60.016594886
Chubut,Paso del sapo,-42.737110995,-69.611002088
San luis,Villa larca,-32.602006,-65.05370603
Chubut,Cushamen,-42.176661103,-70.662618843
Rio negro,Ingeniero huergo,-39.049464802,-67.217793659
Santa fe,Alvear,-33.060584803,-60.685644012
Tucuman,Los nogales,-26.746581459,-65.233417403
La pampa,Winifreda,-36.21609983,-64.60941881
Chubut,Comodoro rivadavia,-45.793575686,-67.503963496
La pampa,Parera,-35.146293075,-64.500649123
Buenos aires,General pueyrredon,-37.913076391,-57.552463852
Jujuy,San salvador de jujuy,-24.1587721,-65.29728933
Catamarca,Poman,-28.33781745,-66.54987231
Cordoba,Portena,-31.013921147,-62.0633288
Tucuman,Delfin gallo,-26.85468,-65.12602
Formosa,El colorado,-26.311735464,-59.368443468
Santiago del estero,El charco,-27.261711295,-64.653897342
Chaco,Villa angela,-27.63381406,-60.793422896
Cordoba,Monte cristo,-31.323035329,-63.856128743
Santa fe,Villa saralegui,-30.7124095,-60.6588438
Entre rios,Villaguay,-31.865441374,-59.029062835
Santiago del estero,Area sin gobierno,-28.854589462,-64.83126831
Santa fe,Vera y pintado,-30.0995961,-60.4496565
Cordoba,Capitan general bernardo o higgins,-33.247202805,-62.269738359
Formosa,San martin i,-24.531905301,-59.90205123
Chubut,Gobernador costa,-44.052982606,-70.597920256
Santa fe,Luis palacios,-32.784870423,-60.907637961
Cordoba,San vicente,-31.854927457,-65.492127946
Misiones,Concepcion de la sierra,-28.008006445,-55.442124228
Catamarca,El alto,-28.395515442,-65.398735046
Santa fe,Santo tome,-31.66484233,-60.762639984
Salta,Rivadavia banda norte,-23.206073761,-63.180274963
Santa fe,Pueblo marini,-31.040974548,-61.889882637
San juan,Pocito,-31.629474322,-68.608076564
Santiago del estero,Lugones,-28.341885204,-63.270669194
Santiago del estero,Tacanitas,-28.613854158,-62.523836188
Cordoba,Villa cura brochero,-31.706369083,-65.019110978
Santiago del estero,Villa salavina,-28.815150316,-63.341063155
Santa fe,Toba,-29.267588428,-60.172655901
Cordoba,Chancani,-31.41728202,-65.445342134
Chaco,Presidencia de la plaza,-26.887390483,-59.7405352
Santiago del estero,Villa figueroa,-27.719163512,-63.462754109
Chubut,Rio mayo,-45.696453817,-70.255980448
San luis,Area sin gobierno,-33.790293261,-66.753123863
Santa cruz,Lago posadas,-47.566781236,-71.743475631
La pampa,Limay mahuida,-37.159712053,-66.674540036
La rioja,Chamical,-29.933307648,-65.767944336
Buenos aires,Pilar,-34.485898345,-58.87683357
Salta,El bordo,-24.55378446,-65.10780492
Santa fe,San martin de las escobas,-31.793093413,-61.546051117
Santa fe,Villa eloisa,-32.964324157,-61.547833326
Santa fe,Funes,-32.922782783,-60.812180283
Corrientes,Alvear,-29.05258734,-56.56060936
Cordoba,Las palmas,-31.380007624,-65.289975724
Santa fe,San francisco de santa fe,-33.590540004,-62.124469393
Cordoba,Chuna,-30.409496725,-64.538726844
Cordoba,Colonia barge,-33.258541155,-62.608162827
Buenos aires,General pinto,-34.471866608,-62.092647552
Santiago del estero,Loreto,-28.326665429,-64.105600189
Santiago del estero,Pozo betbeder,-26.437038187,-64.318435103
Cordoba,Rosales,-34.171790726,-63.153479847
Santa fe,Diaz,-32.375058824,-61.091442512
Santa fe,Granadero baigorria,-32.861364166,-60.706215977
Cordoba,Las gramillas,-31.088255513,-63.241844462
Santa fe,Ramayon,-30.675815339,-60.499555379
Entre rios,Pedernal,-31.671472966,-58.230791274
Chubut,Rawson,-43.382120862,-65.044932568
Tucuman,Los sosa,-27.09195137,-65.648391724
Buenos aires,Vicente lopez,-34.532743264,-58.49109796
Entre rios,Jubileo,-31.733673335,-58.634038044
Neuquen,Huinganco,-37.115215302,-70.619155884
Cordoba,Villa yacanto,-32.200447531,-64.821341085
La pampa,Quetrequen,-35.054843932,-64.52136934
Salta,El galpon,-25.387624741,-64.714851379
Buenos aires,General juan madariaga,-37.202106,-57.4168401
Cordoba,Canada de machado,-31.428924271,-63.587026451
Cordoba,Bengolea,-33.027417314,-63.671927788
Buenos aires,Saladillo,-35.5801859,-59.8586723
Cordoba,La quinta,-31.062258846,-63.150128183
Chaco,Villa berthet,-27.21971406,-60.332806224
Santiago del estero,Colonia tinco,-27.47067281,-64.880761177
Catamarca,Aconquija,-27.451195979,-66.019968827
Chaco,Margarita belen,-26.916816527,-58.987718188
Salta,Aguaray,-22.04019646,-63.947694681
Tucuman,La cocha,-27.766714096,-65.600608826
